id	区域编码	收费站编码	收费站名称	所属区域名称	管辖单位名称
2.01611100101009984E17	26.0	11.0	"凤山站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	51.0	1.0	"瓮安南站"	"都匀南"	"福泉中心"
2.01611100101009984E17	51.0	2.0	"平定营站"	"都匀南"	"福泉中心"
2.01611100101009984E17	51.0	3.0	"牛场站"	"都匀南"	"福泉中心"
2.01611100101009984E17	51.0	4.0	"福泉北站"	"都匀南"	"福泉中心"
2.01611100101009984E17	51.0	5.0	"福泉东站"	"都匀南"	"福泉中心"
2.01611100101009984E17	51.0	6.0	"福泉南站"	"都匀南"	"福泉中心"
2.01611100101009984E17	53.0	1.0	"惠水南站"	"惠水县"	"贵阳营运中心"
2.01611100101009984E17	53.0	2.0	"断杉站"	"惠水县"	"贵阳营运中心"
2.01611100101009984E17	82.0	4.0	"高新中航黎阳站"	"贵阳"	"城发公司"
2.01611100101009984E17	52.0	1.0	"两河口主线站"	"铜仁"	"松铜公司"
2.01611100101009984E17	52.0	2.0	"黄板站"	"铜仁"	"松铜公司"
2.01611100101009984E17	52.0	5.0	"苗王城西站"	"铜仁"	"松铜公司"
2.01611100101009984E17	52.0	4.0	"松桃南站"	"铜仁"	"松铜公司"
2.01611100101009984E17	52.0	3.0	"松桃北站"	"铜仁"	"松铜公司"
2.01611100101009984E17	37.0	2.0	"金碧站"	"毕节市"	"贵惠黔织线"
2.01611100101009984E17	37.0	3.0	"沙井站"	"毕节市"	"贵惠黔织线"
2.01611100101009984E17	37.0	5.0	"绮陌站"	"毕节市"	"贵惠黔织线"
2.01611100101009984E17	37.0	4.0	"织金洞西站"	"毕节市"	"贵惠黔织线"
2.01611100101009984E17	38.0	1.0	"毕节西站"	"毕节市"	"毕开司毕威线"
2.01611100101009984E17	38.0	2.0	"长春堡站"	"毕节市"	"毕开司毕威线"
2.01611100101009984E17	38.0	3.0	"撒拉溪站"	"毕节市"	"毕开司毕威线"
2.01611100101009984E17	38.0	4.0	"杨家湾站"	"毕节市"	"毕开司毕威线"
2.01611100101009984E17	38.0	5.0	"野马川站"	"毕节市"	"毕开司毕威线"
2.01611100101009984E17	38.0	6.0	"赫章站"	"毕节市"	"毕开司毕威线"
2.01611100101009984E17	38.0	7.0	"水塘站"	"毕节市"	"毕开司毕威线"
2.01611100101009984E17	38.0	8.0	"阿维寨站"	"毕节市"	"毕开司毕威线"
2.01611100101009984E17	38.0	9.0	"杨家洼站"	"毕节市"	"毕开司毕威线"
2.01611100101009984E17	38.0	10.0	"周家院主线站"	"毕节市"	"毕开司毕威线"
2.01611100101009984E17	65.0	1.0	"凯里黄平机场站"	"黔东南州"	"凯里营运分中心"
2.01611100101009984E17	65.0	2.0	"施秉站"	"黔东南州"	"凯里营运分中心"
2.01611100101009984E17	65.0	3.0	"余庆站"	"遵义"	"凯里营运分中心"
2.01611100101009984E17	65.0	4.0	"牛大场站"	"黔东南州"	"凯里营运分中心"
2.01611100101009984E17	65.0	5.0	"黄平北站"	"黔东南州"	"凯里营运分中心"
2.01611100101009984E17	65.0	6.0	"黄平南站"	"黔东南州"	"凯里营运分中心"
2.01611100101009984E17	65.0	7.0	"重安站"	"黔东南州"	"凯里营运分中心"
2.01611100101009984E17	65.0	8.0	"凯里北站"	"黔东南州"	"凯里营运分中心"
2.01611100101009984E17	64.0	1.0	"凯里南站"	"黔东南州"	"凯里营运分中心"
2.01611100101009984E17	64.0	2.0	"大寨站"	"黔东南州"	"凯里营运分中心"
2.01611100101009984E17	64.0	3.0	"丹寨站(凯羊)"	"黔东南州"	"凯里营运分中心"
2.01611100101009984E17	58.0	1.0	"林泉站"	"毕节"	"桥梁集团黔大线"
2.01611100101009984E17	58.0	2.0	"百里杜鹃西站(黄泥塘)"	"毕节"	"桥梁集团黔大线"
2.01611100101009984E17	58.0	3.0	"六龙站"	"毕节"	"桥梁集团黔大线"
2.01611100101009984E17	28.0	1.0	"海龙站"	"遵义市"	"遵高投檬乐线"
2.01611100101009984E17	28.0	2.0	"乐理站"	"遵义市"	"遵高投檬乐线"
2.01611100101009984E17	59.0	1.0	"黔西站"	"毕节"	"桥梁集团息黔线"
2.01611100101009984E17	55.0	1.0	"滥坝站"	"六盘水"	"水城营运中心"
2.01611100101009984E17	55.0	2.0	"陡箐站"	"六盘水"	"水城营运中心"
2.01611100101009984E17	55.0	3.0	"新场站"	"六盘水六枝特区"	"水城营运中心"
